ID,Zorluk,Hız,Egitmenler,Yardım,Gelecek
1,3,4,5,5,5
2,4,4,5,5,4
3,2,3,5,5,5
4,3,4,5,5,5
5,4,4,5,5,5
6,4,4,5,5,4
7,3,3,5,5,5
8,3,3,5,5,5
9,3,4,5,5,3
10,3,3,4,5,5
11,4,3,5,5,5
12,3,3,5,5,5
13,3,4,4,5,5
14,3,3,5,5,5
15,2,3,5,5,5
16,3,3,5,5,5
17,3,5,5,5,5
18,3,4,5,5,5
19,3,3,5,5,5
20,2,3,5,5,5
21,4,3,5,5,3
22,3,2,5,5,2
23,2,2,5,5,5
24,3,3,5,5,5
25,3,3,5,5,5
26,4,3,5,5,3
27,3,3,5,4,4
28,2,3,4,5,3
29,4,4,5,5,5
