STATION,STATION_NAME,DATE,MNTM
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19090501,123
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19090601,189
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19090701,204
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19090801,196
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19090901,156
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19091001,100
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19091101,62
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19091201,-39
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19100101,-19
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19100201,-35
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19100301,40
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19100401,99
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19100501,127
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19100601,171
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19100701,227
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19100801,198
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19100901,162
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19101001,117
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19101101,29
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19101201,-46
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19110101,-19
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19110201,-47
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19110301,1
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19110401,63
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19110501,159
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19110601,174
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19110701,233
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19110801,193
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19110901,156
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19111001,98
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19111101,37
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19111201,20
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19120101,-80
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19120201,-50
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19120301,1
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19120401,72
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19120501,135
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19120601,186
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19120701,213
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19120801,186
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19120901,161
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19121001,124
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19121101,56
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19121201,16
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19130101,22
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19130201,-42
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19130301,44
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19130401,73
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19130501,116
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19130601,178
